fold,level,hierarchy,class,precision,recall,f1,support
P6,crop,guide,NC_1,0.012658227848101266,0.002976190476190476,0.004819277108433735,3024
P6,crop,guide,NC_2,0.04869565217391304,0.009259259259259259,0.015559877743817728,3024
P6,crop,guide,NC_3,0.010416666666666666,0.0036375661375661374,0.005392156862745098,3024
P6,crop,guide,NC_4,0.07055555555555555,0.0419973544973545,0.052653399668325045,3024
P6,crop,guide,NC_5,0.009722222222222222,0.0023148148148148147,0.0037393162393162395,3024
P6,crop,guide,NC_6,0.01606135146867313,0.03670634920634921,0.022345244086562657,3024
P6,crop,guide,WT NC_1,0.018583787247677026,0.01917989417989418,0.01887713588283157,3024
P6,crop,guide,WT NC_2,0.3019406392694064,0.17493386243386244,0.22152428810720268,3024
P6,crop,guide,WT NC_3,0.113384484228474,0.08796296296296297,0.09906890130353818,3024
P6,crop,guide,WT NC_4,0.04136789851075565,0.0248015873015873,0.031010957204879057,3024
P6,crop,guide,WT NC_5,0.036736641221374045,0.05092592592592592,0.042682926829268296,3024
P6,crop,guide,WT NC_6,0.2808943089430894,0.22850529100529102,0.25200583515681985,3024
P6,crop,guide,dnaB_1,0.0007158196134574087,0.0006613756613756613,0.0006875214850464077,3024
P6,crop,guide,dnaB_2,0.01237224314147391,0.007605820105820105,0.009420438255171002,3024
P6,crop,guide,dnaB_3,0.0017064846416382253,0.00033068783068783067,0.000554016620498615,3024
P6,crop,guide,dnaE_1,0.025073746312684365,0.022486772486772486,0.023709902370990237,3024
P6,crop,guide,dnaE_2,0.031061659712563746,0.022156084656084655,0.025863732870102296,3024
P6,crop,guide,dnaE_3,0.08547008547008547,0.03968253968253968,0.05420054200542006,3024
P6,crop,guide,folA_1,0.03292361720807726,0.0248015873015873,0.02829121086382497,3024
P6,crop,guide,folA_2,0.13893376413570274,0.19907407407407407,0.1636536631779258,3024
P6,crop,guide,folA_3,0.12017593643586832,0.2800925925925926,0.1681890389197776,3024
P6,crop,guide,folP_1,0.04969778374748153,0.02447089947089947,0.032794150232661204,3024
P6,crop,guide,folP_2,0.13989637305699482,0.026785714285714284,0.044962531223980015,3024
P6,crop,guide,folP_3,0.0,0.0,0.0,3024
P6,crop,guide,ftsI_1,0.14571301643713905,0.10846560846560846,0.12436018957345972,3024
P6,crop,guide,ftsI_2,0.0797514241325738,0.05092592592592592,0.062159434914228054,3024
P6,crop,guide,ftsI_3,0.21767241379310345,0.1335978835978836,0.16557377049180327,3024
P6,crop,guide,ftsZ_1,0.3908278050187482,0.4480820105820106,0.41750115544600214,3024
P6,crop,guide,ftsZ_2,0.3315455875182838,0.22486772486772486,0.26798029556650244,3024
P6,crop,guide,ftsZ_3,0.3354581673306773,0.4176587301587302,0.37207247017233763,3024
P6,crop,guide,gyrA_1,0.07017167381974249,0.10813492063492064,0.08511192087454451,3024
P6,crop,guide,gyrA_2,0.023755656108597284,0.006944444444444444,0.010747185261003071,3024
P6,crop,guide,gyrA_3,0.03478583807873236,0.09292328042328042,0.05062150963790308,3024
P6,crop,guide,gyrB_1,0.030482256596906277,0.022156084656084655,0.025660666411336654,3024
P6,crop,guide,gyrB_2,0.0361094933022714,0.0205026455026455,0.026154819658299938,3024
P6,crop,guide,gyrB_3,0.049168207024029575,0.04398148148148148,0.04643044161284692,3024
P6,crop,guide,lptA_1,0.10124410124410124,0.07804232804232804,0.08814192343604109,3024
P6,crop,guide,lptA_2,0.19546313799621928,0.17096560846560846,0.18239548421238314,3024
P6,crop,guide,lptA_3,0.047386120452461024,0.05125661375661376,0.04924543288324067,3024
